brand_name_rx_count,gender,generic_rx_count,region,settlement_type,specialty,years_practicing
2388,F,9007,Northeast,non-urban,Adolescent Medicine,7
1040,M,4628,South,non-urban,Cardiovascular Disease,7
1128,F,5805,South,non-urban,Family,3
423,F,2964,South,urban,Family,8
494,M,6232,South,non-urban,Psychiatry,8
3808,F,4126,Northeast,non-urban,"Endocrinology, Diabetes & Metabolism",7
346,F,1126,South,urban,Adult Health,3
4348,M,6634,Northeast,non-urban,Cardiovascular Disease,8
518,M,1108,South,urban,Pulmonary Disease,7
603,M,3089,South,non-urban,Cardiovascular Disease,7
179,M,1720,South,non-urban,Hematology & Oncology,8
576,M,4517,South,urban,Cardiovascular Disease,7
361,F,1580,West,non-urban,Primary Care,1
862,M,6654,South,urban,Rheumatology,8
543,M,5632,Midwest,non-urban,Interventional Cardiology,7
460,M,2953,South,urban,Cardiovascular Disease,7
3383,M,2840,South,non-urban,Cardiovascular Disease,7
769,F,4928,South,non-urban,Family,7
259,M,2826,South,urban,Cardiovascular Disease,7
470,M,1700,South,urban,Neurology,7
1111,M,5510,South,urban,Cardiovascular Disease,7
387,M,2070,South,urban,Psychiatry,7
295,F,1807,Northeast,urban,Adult Health,7
491,M,5447,South,non-urban,Psychiatry,7
958,M,8886,Midwest,non-urban,Geriatric Medicine,6
1068,F,3874,Midwest,non-urban,Family,8
500,M,2769,Northeast,non-urban,Cardiovascular Disease,7
878,M,3560,South,non-urban,Cardiovascular Disease,7
2256,M,8028,Northeast,non-urban,Nephrology,7
271,F,2370,South,non-urban,Family,4
1301,M,2558,South,non-urban,Cardiovascular Disease,7
226,F,1669,Midwest,urban,Medical,3
1015,M,4334,South,urban,Cardiovascular Disease,7
567,F,5249,South,urban,Family,6
589,M,3144,South,urban,Family,6
1279,M,4422,West,non-urban,Cardiovascular Disease,8
611,M,3658,West,urban,Rheumatology,7
1791,M,6612,Northeast,non-urban,Medical,7
854,M,3702,Northeast,urban,Neurology,7
278,F,1094,South,urban,Adult Health,7
446,F,2279,South,non-urban,Interventional Cardiology,8
403,M,3604,Northeast,non-urban,Psychiatry,7
113,F,1624,West,non-urban,Adult Health,6
678,F,2544,South,non-urban,Nephrology,8
1324,M,5218,Northeast,non-urban,Cardiovascular Disease,7
1195,M,2693,West,urban,Nephrology,8
301,F,2484,South,urban,Adult Medicine,7
739,M,2565,South,urban,Psychiatry,7
330,F,1743,Midwest,urban,Family,7
428,F,2582,Midwest,non-urban,Family,6
869,M,2226,West,non-urban,Nephrology,7
510,M,3038,South,non-urban,Cardiovascular Disease,8
764,F,5443,South,urban,Geriatric Medicine,7
264,M,1879,West,non-urban,Pulmonary Disease,7
273,M,4851,Northeast,non-urban,Hematology & Oncology,7
1211,M,8643,Northeast,non-urban,Pulmonary Disease,7
794,M,2652,Northeast,non-urban,Nephrology,8
2818,F,16559,South,non-urban,Geriatric Medicine,8
1075,M,6587,West,non-urban,Neurology,8
1669,F,3665,South,non-urban,"Endocrinology, Diabetes & Metabolism",7
427,M,3670,South,non-urban,Medical,7
934,F,2022,Midwest,urban,Neurology,7
439,M,3708,West,non-urban,Critical Care Medicine,7
135,M,1445,Midwest,non-urban,Adult Medicine,7
855,M,785,Northeast,non-urban,Infectious Disease,8
390,M,1873,Midwest,non-urban,Cardiovascular Disease,7
563,M,3923,South,non-urban,Cardiovascular Disease,7
1215,F,3321,West,non-urban,Nephrology,7
93,F,1180,Midwest,non-urban,Gerontology,2
313,M,2390,Northeast,non-urban,Gastroenterology,8
2467,F,2459,South,non-urban,Infectious Disease,8
192,M,1712,West,urban,Hematology & Oncology,7
1759,M,6288,Midwest,urban,Cardiovascular Disease,7
620,M,5652,South,urban,Psychiatry,7
446,M,3508,West,urban,Medical,3
1188,M,7371,West,non-urban,Medical,3
344,F,1879,West,non-urban,Family,6
936,M,1034,Northeast,non-urban,Infectious Disease,7
890,M,5719,South,non-urban,Interventional Cardiology,7
878,M,5296,South,non-urban,Cardiovascular Disease,8
176,F,1859,West,non-urban,Family,7
3065,M,10417,Northeast,non-urban,Cardiovascular Disease,7
284,M,4231,South,non-urban,Neurology,8
608,M,5534,Northeast,non-urban,Psychiatry,7
532,M,1401,Northeast,urban,Medical,1
613,M,3284,West,non-urban,Cardiovascular Disease,7
237,F,1835,South,urban,Family,5
497,M,3682,South,urban,Cardiovascular Disease,7
91,F,1184,South,non-urban,Family,3
340,F,2015,West,urban,Medical,8
951,F,3909,Midwest,non-urban,Cardiovascular Disease,7
772,F,5717,South,urban,Adult Health,4
423,M,4874,Northeast,urban,Psychiatry,7
267,M,2134,South,non-urban,Hematology & Oncology,7
331,F,2641,Northeast,urban,Geriatric Medicine,7
1555,M,5412,West,urban,Pulmonary Disease,7
694,M,3957,Midwest,urban,Adult Medicine,5
342,M,4611,South,urban,Rheumatology,7
783,M,7229,Northeast,non-urban,Rheumatology,8
970,F,4511,West,non-urban,Medical,7
675,M,7866,Northeast,non-urban,Psychiatry,8
826,M,5563,Midwest,non-urban,Geriatric Medicine,7
136,F,1641,South,urban,Family,2
1796,F,8173,Northeast,non-urban,Adult Health,7
274,F,2601,Midwest,non-urban,Family,1
705,F,1653,Midwest,non-urban,Infectious Disease,7
515,M,2082,South,non-urban,Cardiovascular Disease,8
263,F,1074,South,urban,Family,4
1355,F,818,Northeast,non-urban,Infectious Disease,7
810,F,4951,South,urban,Family,8
1790,M,11229,Midwest,urban,Pulmonary Disease,8
511,F,2657,West,urban,Psychiatry,7
1504,M,3692,Midwest,urban,Neurology,7
1455,F,6445,South,urban,Family,6
2737,M,9013,Midwest,urban,Geriatric Medicine,7
324,M,1825,South,urban,Nephrology,7
356,F,1173,Northeast,non-urban,Family,4
965,F,5530,West,non-urban,Family,7
1146,F,7068,South,urban,Adult Health,7
1723,F,1789,South,non-urban,Family,4
1777,M,9070,Northeast,non-urban,Infectious Disease,7
623,M,2460,Northeast,non-urban,Cardiovascular Disease,8
159,F,1074,West,urban,"Endocrinology, Diabetes & Metabolism",7
2933,F,12291,South,urban,Family,6
111,M,1644,Midwest,urban,Family,7
506,M,2299,Midwest,urban,Neurology,8
666,M,3066,South,urban,Family,2
546,F,3129,South,non-urban,Family,5
229,M,1061,Northeast,urban,Adult Medicine,7
1428,M,5970,South,non-urban,Medical,8
370,M,1476,West,urban,Neurology,8
249,M,2768,Midwest,urban,Hematology & Oncology,7
411,M,5321,South,non-urban,Rheumatology,8
274,F,2568,Northeast,non-urban,Gerontology,8
1095,M,6139,Northeast,non-urban,Cardiovascular Disease,8
1260,M,7324,Northeast,urban,Geriatric Medicine,7
563,M,3944,Midwest,non-urban,Psychiatry,7
1585,M,8487,Northeast,non-urban,Cardiovascular Disease,7
1912,M,1804,West,urban,Infectious Disease,7
375,F,2262,South,non-urban,Primary Care,7
466,M,2912,Midwest,urban,Neurology,7
2360,M,3979,South,urban,"Endocrinology, Diabetes & Metabolism",7
141,F,930,Midwest,urban,Family,4
727,M,4043,West,non-urban,Cardiovascular Disease,8
610,M,2395,South,non-urban,Rheumatology,8
464,M,2797,South,non-urban,Pulmonary Disease,8
457,F,2462,Northeast,non-urban,Family,7
734,F,3430,Northeast,non-urban,Family,5
1240,M,6891,Midwest,non-urban,Interventional Cardiology,7
380,F,1913,Midwest,urban,Medical,8
373,M,4181,South,urban,Cardiovascular Disease,6
691,M,3040,South,urban,Psychiatry,7
1127,M,4810,Northeast,non-urban,Nephrology,7
334,F,2201,South,urban,Psychiatry,7
456,F,2882,West,non-urban,Medical,7
318,M,1575,Northeast,non-urban,Neurology,8
385,M,2560,Midwest,non-urban,Infectious Disease,7
2645,M,4578,Northeast,non-urban,Pulmonary Disease,7
303,F,1893,South,urban,Family,7
882,F,4680,South,urban,Psychiatry,7
366,F,3383,South,urban,Family,1
1296,M,9381,South,non-urban,Interventional Cardiology,8
579,M,3041,West,non-urban,Cardiovascular Disease,6
1742,F,1533,South,non-urban,Family,6
240,M,1531,Northeast,non-urban,"Endocrinology, Diabetes & Metabolism",6
3694,F,1797,South,urban,"Endocrinology, Diabetes & Metabolism",7
363,F,1398,Midwest,urban,Adult Health,6
1336,M,7669,Northeast,non-urban,Medical,8
320,M,824,South,non-urban,Rheumatology,7
56,F,1639,South,non-urban,Hematology & Oncology,8
474,M,2402,South,urban,Psychiatry,6
4925,M,11948,Midwest,non-urban,"Endocrinology, Diabetes & Metabolism",8
357,F,2369,Northeast,non-urban,Adult Health,5
1118,F,1731,Midwest,urban,Family,7
2191,M,5623,South,non-urban,Cardiovascular Disease,7
299,M,2514,South,urban,Neurology,5
257,F,3008,South,non-urban,Medical,7
1079,F,7488,South,urban,Family,2
1711,F,5220,South,urban,"Endocrinology, Diabetes & Metabolism",6
523,F,2520,South,non-urban,Cardiovascular Disease,7
967,M,5422,West,urban,Geriatric Medicine,6
1159,M,1943,West,non-urban,Pulmonary Disease,7
4447,M,22939,Northeast,urban,Geriatric Medicine,7
2533,M,6068,Northeast,non-urban,Gastroenterology,7
1157,M,2269,Northeast,urban,Medical,5
166,F,1870,West,non-urban,Family,3
1742,M,5642,Northeast,non-urban,Cardiovascular Disease,8
41,M,1514,South,non-urban,Family,7
1687,M,2458,South,urban,Infectious Disease,8
590,M,2981,South,urban,Adult Medicine,6
260,F,1601,West,non-urban,Neurology,6
1380,M,4688,Northeast,non-urban,Cardiovascular Disease,7
1379,F,4732,West,non-urban,Neurology,7
203,F,1552,Midwest,urban,Nephrology,6
361,F,1308,Northeast,non-urban,Adult Health,7
593,M,3044,South,urban,Medical,6
775,M,1439,South,urban,Gastroenterology,7
149,F,1084,Northeast,non-urban,Medical,6
940,M,1914,South,non-urban,Neurology,7
1192,M,2991,South,urban,Pulmonary Disease,8
414,M,1224,Northeast,urban,Infectious Disease,7
1080,M,2668,Northeast,non-urban,Cardiovascular Disease,8
402,F,5201,South,non-urban,Psychiatry,7
2495,M,8304,South,urban,Interventional Cardiology,7
2797,M,6311,Northeast,urban,Neurology,8
1398,M,8758,South,urban,Interventional Cardiology,7
1634,M,1432,Midwest,non-urban,"Endocrinology, Diabetes & Metabolism",8
891,F,6345,Midwest,non-urban,Geriatric Medicine,7
1720,F,10036,South,non-urban,Family,7
1055,M,3220,South,urban,Neurology,7
775,M,2805,South,non-urban,Cardiovascular Disease,7
445,M,4496,Northeast,non-urban,Psychiatry,7
2637,M,15248,West,urban,Geriatric Medicine,7
509,M,3520,West,urban,Psychiatry,7
324,F,3474,Midwest,urban,Gerontology,6
928,M,2553,Midwest,non-urban,Psychiatry,8
940,M,6801,South,urban,Cardiovascular Disease,7
379,M,3025,West,non-urban,Neurology,7
1224,M,8117,West,urban,Geriatric Medicine,7
118,F,1343,Midwest,non-urban,Acute Care,7
560,F,5483,Midwest,non-urban,Medical,8
519,F,1854,Northeast,urban,Adult Health,7
375,F,3283,West,non-urban,Medical,6
3304,M,15968,South,non-urban,Cardiovascular Disease,7
678,M,2753,South,urban,Neurology,5
989,M,7949,South,non-urban,Psychiatry,7
968,M,3299,South,urban,Cardiovascular Disease,7
121,F,1704,Midwest,urban,Nephrology,7
1290,M,4108,South,urban,Addiction Medicine,7
173,M,1476,South,non-urban,Hematology & Oncology,7
2262,F,10818,West,non-urban,Geriatric Medicine,7
874,F,6488,Midwest,non-urban,Gerontology,7
736,M,4003,South,urban,Cardiovascular Disease,8
1450,M,9620,Midwest,urban,Cardiovascular Disease,8
1183,M,1643,Northeast,non-urban,Pulmonary Disease,7
478,F,2312,West,urban,Medical,6
729,F,3933,Midwest,urban,Psych/Mental Health,8
943,M,5659,South,non-urban,Cardiovascular Disease,8
2266,F,13997,South,urban,Psychiatry,7
2158,M,1306,West,non-urban,"Endocrinology, Diabetes & Metabolism",8
495,M,4987,Midwest,non-urban,Interventional Cardiology,7
1653,M,9926,West,non-urban,Geriatric Medicine,7
514,F,4265,South,urban,Adult Health,5
1286,M,1616,South,urban,Pulmonary Disease,8
303,F,2032,South,urban,Family,2
864,M,3313,Midwest,non-urban,Neurology,8
360,F,2722,South,urban,Hematology & Oncology,8
563,F,2948,South,urban,Psychiatry,7
790,M,3738,Northeast,non-urban,Cardiovascular Disease,8
395,F,3118,South,non-urban,Family,8
3364,M,6790,South,urban,"Endocrinology, Diabetes & Metabolism",7
342,F,1291,Midwest,non-urban,Family,2
405,M,1274,Midwest,non-urban,Nephrology,8
844,M,5334,South,urban,Psychiatry,6
446,F,2302,Northeast,non-urban,Adult Health,8
2410,F,1477,South,non-urban,Medical,8
637,M,3065,Midwest,non-urban,Nephrology,8
2502,F,1697,Northeast,non-urban,Family,8
1197,F,3038,West,urban,Nephrology,7
744,F,2958,South,urban,Cardiovascular Disease,7
1133,M,4696,Northeast,non-urban,Adolescent Medicine,7
625,F,3107,Midwest,non-urban,Family,6
1375,M,11515,South,urban,Cardiovascular Disease,7
743,F,7075,South,urban,Psychiatry,8
825,M,2671,South,urban,Nephrology,8
849,M,5958,South,urban,Cardiovascular Disease,7
368,M,3143,South,urban,Psychiatry,6
2410,M,2839,West,non-urban,Pulmonary Disease,8
729,M,2728,South,non-urban,Cardiovascular Disease,5
142,F,1074,South,urban,Family,7
73,M,1193,Midwest,non-urban,Medical,1
628,F,2151,South,urban,Family,7
739,M,2663,Northeast,non-urban,Gastroenterology,7
967,F,4861,South,urban,Family,5
1141,F,1327,Midwest,non-urban,Family,7
591,M,4477,Midwest,non-urban,Gastroenterology,8
839,M,6966,Midwest,urban,Cardiovascular Disease,7
806,M,5948,Midwest,urban,Geriatric Medicine,7
1994,F,6992,West,urban,Family,7
1039,F,5463,South,non-urban,Geriatric Medicine,6
372,F,2837,Northeast,non-urban,Adult Health,7
858,F,3119,West,non-urban,Family,2
957,F,4753,Northeast,urban,Neurology,7
634,M,3511,South,non-urban,Cardiovascular Disease,7
1234,M,3587,Northeast,non-urban,Cardiovascular Disease,7
926,M,1169,South,non-urban,Infectious Disease,8
812,M,3737,Midwest,non-urban,Cardiovascular Disease,8
207,F,1698,Midwest,urban,Acute Care,1
182,F,1567,West,non-urban,Nephrology,7
48,F,1791,South,non-urban,Family,7
115,M,1757,West,non-urban,Adolescent Medicine,6
582,F,2300,South,non-urban,Family,3
469,F,3987,Northeast,non-urban,Psychiatry,6
285,F,2945,Northeast,urban,Family,8
545,F,4440,South,non-urban,Family,7
271,F,1820,Midwest,urban,Family,4
392,M,1908,South,non-urban,Nephrology,8
423,F,2255,South,urban,Geriatric Medicine,7
1273,F,7650,South,urban,Family,1
336,M,1341,Northeast,urban,Geriatric Medicine,7
249,M,1318,South,non-urban,Hematology & Oncology,7
936,M,2310,West,urban,Neurology,7
91,M,1266,South,urban,Medical,7
786,M,3578,Northeast,non-urban,Gastroenterology,7
315,F,3016,South,urban,Family,7
692,M,4300,Midwest,urban,Psychiatry,7
261,M,2929,South,urban,Cardiovascular Disease,7
1099,M,4001,South,urban,Neurology,7
459,M,1776,West,non-urban,Neurology,7
426,F,1622,South,urban,Medical,4
332,F,3859,Midwest,non-urban,Psychiatry,6
1495,M,4061,South,urban,Neurology,6
163,M,1368,South,non-urban,Nephrology,7
1718,M,6660,Midwest,urban,Nephrology,7
587,M,4669,Midwest,non-urban,Cardiovascular Disease,7
524,M,2005,South,urban,Nephrology,8
5559,M,4479,Northeast,non-urban,"Endocrinology, Diabetes & Metabolism",7
724,M,5764,Midwest,non-urban,Geriatric Medicine,5
489,F,3361,West,non-urban,Family,7
154,M,1171,South,urban,Family,2
825,M,2687,Northeast,non-urban,Cardiovascular Disease,8
270,M,1955,South,urban,Family,2
493,M,2225,South,urban,Medical,8
1251,M,6088,West,non-urban,Cardiovascular Disease,7
211,M,2303,West,non-urban,Family,4
158,F,1848,West,non-urban,Family,2
426,M,2957,West,non-urban,Neurology,7
414,M,2220,South,urban,"Endocrinology, Diabetes & Metabolism",7
696,M,4539,West,non-urban,Medical,6
1776,M,6588,South,non-urban,Adult Medicine,7
226,M,1571,West,urban,Medical,4
491,F,3283,South,urban,Adult Health,3
788,M,5754,South,non-urban,Adult Medicine,6
820,M,770,Northeast,non-urban,Infectious Disease,6
5016,M,21922,Northeast,non-urban,Geriatric Medicine,7
2268,M,11872,Midwest,urban,Psychiatry,7
342,M,4692,Midwest,urban,Cardiovascular Disease,7
262,F,2154,West,non-urban,Family,8
1054,F,6912,Northeast,urban,Family,7
1091,F,8571,South,urban,Family,8
514,M,2595,Midwest,non-urban,Geriatric Medicine,7
350,F,1197,South,non-urban,Geriatric Medicine,6
1112,M,3731,Midwest,non-urban,Cardiovascular Disease,8
2193,M,3955,Northeast,non-urban,Pulmonary Disease,7
423,F,5269,Midwest,urban,Psychiatry,6
445,M,2501,Northeast,urban,Nephrology,7
1297,M,6582,West,non-urban,Cardiovascular Disease,7
434,M,1556,Northeast,non-urban,Primary Care,2
204,F,1843,Northeast,non-urban,Adult Medicine,7
345,M,2226,South,non-urban,Geriatric Medicine,7
353,M,1417,South,non-urban,Sports Medicine,7
1227,M,3870,Northeast,urban,Nephrology,7
2999,F,3478,Midwest,urban,Family,7
217,F,1085,Northeast,non-urban,Medical,7
649,F,1816,South,non-urban,Family,6
194,M,2289,West,non-urban,Cardiovascular Disease,7
3070,F,3663,West,non-urban,Infectious Disease,6
471,M,3099,South,non-urban,Interventional Cardiology,8
534,M,5109,Midwest,urban,Cardiovascular Disease,7
316,F,2727,West,urban,Family,5
965,F,3696,Northeast,non-urban,Pulmonary Disease,6
338,M,3260,West,urban,Cardiovascular Disease,7
805,M,4442,Northeast,non-urban,Nephrology,8
1442,M,6005,West,urban,Cardiovascular Disease,7
643,M,2656,Northeast,non-urban,Cardiovascular Disease,7
1033,M,5095,West,non-urban,Rheumatology,8
106,F,1063,West,non-urban,Medical,7
1943,M,8068,Northeast,urban,Nephrology,7
277,M,2939,South,urban,Child & Adolescent Psychiatry,6
371,M,2921,South,urban,Nephrology,7
716,M,2423,South,non-urban,Cardiovascular Disease,7
2379,F,1087,Northeast,non-urban,"Endocrinology, Diabetes & Metabolism",7
238,F,1332,Northeast,urban,Adult Health,1
218,F,1157,South,urban,Neurology,7
1046,M,1911,South,urban,Gastroenterology,7
477,M,3905,South,non-urban,Psychiatry,7
790,M,4473,West,urban,Nephrology,7
2538,M,3502,South,urban,"Endocrinology, Diabetes & Metabolism",7
588,F,6300,Midwest,urban,Psychiatry,6
840,M,4351,Northeast,non-urban,Nephrology,7
721,M,960,Northeast,non-urban,Infectious Disease,7
1357,M,4091,South,non-urban,Cardiovascular Disease,7
396,M,1691,South,non-urban,Nephrology,6
677,M,5549,South,urban,Medical,8
276,F,1361,Northeast,urban,Medical,7
648,M,3334,South,urban,Nephrology,7
425,F,1804,Midwest,urban,Family,6
171,F,2004,Midwest,urban,Medical,1
1878,F,9608,South,non-urban,Geriatric Medicine,7
547,M,2902,Northeast,non-urban,Cardiovascular Disease,7
617,F,4359,South,non-urban,Psychiatry,7
732,M,4684,South,urban,Cardiovascular Disease,8
3632,M,4504,Northeast,non-urban,Cardiovascular Disease,5
254,F,2422,Midwest,urban,Gerontology,8
1597,M,8275,West,urban,Family,7
2213,M,1936,South,non-urban,"Endocrinology, Diabetes & Metabolism",7
1042,M,5855,Midwest,non-urban,Adult Medicine,8
177,F,2242,South,urban,Family,7
1464,F,7500,Northeast,non-urban,Adult Health,7
1251,M,11824,South,non-urban,Cardiovascular Disease,6
294,M,3648,Northeast,non-urban,Hematology & Oncology,8
756,M,2990,South,non-urban,Pulmonary Disease,7
631,M,2438,South,urban,Gastroenterology,7
336,F,3508,West,non-urban,Family,7
1897,M,2278,Northeast,non-urban,Pulmonary Disease,8
531,M,2215,South,non-urban,Nephrology,8
1869,F,902,Northeast,non-urban,Infectious Disease,7
700,M,4727,South,non-urban,Cardiovascular Disease,7
1642,M,4406,South,non-urban,Nephrology,7
876,M,3846,South,non-urban,Cardiovascular Disease,7
2362,M,7099,South,urban,Interventional Cardiology,8
821,M,4957,South,urban,Cardiovascular Disease,7
897,M,1360,Northeast,non-urban,Pulmonary Disease,7
227,F,1259,Northeast,non-urban,Medical,7
774,M,2154,South,non-urban,Cardiovascular Disease,8
330,M,1267,Northeast,non-urban,Gastroenterology,7
330,F,3203,West,urban,Medical,3
837,M,4358,Northeast,non-urban,Cardiovascular Disease,7
2107,M,10041,South,urban,Geriatric Medicine,5
291,M,3927,Northeast,non-urban,Adolescent Medicine,8
292,M,2766,Midwest,urban,Cardiovascular Disease,7
1121,F,2740,Northeast,non-urban,Adult Health,1
786,M,1266,West,non-urban,"Endocrinology, Diabetes & Metabolism",7
635,M,2669,Northeast,non-urban,Pulmonary Disease,7
364,F,2629,Midwest,non-urban,Family,8
2303,M,1993,South,urban,Infectious Disease,7
1322,M,6781,Midwest,non-urban,Psychiatry,7
415,F,3408,South,non-urban,Adult Health,6
434,M,3282,Midwest,urban,Psychiatry,7
2072,M,2434,West,non-urban,"Endocrinology, Diabetes & Metabolism",7
230,M,3615,South,urban,Hematology & Oncology,7
427,M,3185,Midwest,urban,Neurology,8
1206,M,5066,South,urban,Psychiatry,7
724,M,2482,South,non-urban,Cardiovascular Disease,8
1674,M,6861,South,urban,Cardiovascular Disease,7
663,M,2950,South,non-urban,Hematology & Oncology,7
163,F,1858,West,urban,Family,6
1189,M,2910,South,urban,"Endocrinology, Diabetes & Metabolism",7
1372,M,3045,Northeast,non-urban,Neurology,7
1000,M,5286,West,non-urban,Medical,7
1730,M,3144,West,non-urban,Cardiovascular Disease,7
631,F,2548,South,urban,Medical,1
2520,M,2613,South,urban,"Endocrinology, Diabetes & Metabolism",7
2098,M,12539,South,non-urban,Nephrology,7
688,M,3283,South,urban,Neurology,7
127,F,1398,Midwest,urban,Adult Health,7
214,M,1320,Northeast,non-urban,Geriatric Medicine,7
753,M,1982,Northeast,non-urban,Nephrology,7
182,M,2289,South,non-urban,Nephrology,8
1759,M,1842,West,non-urban,"Endocrinology, Diabetes & Metabolism",7
1722,M,3814,Midwest,urban,Neurology,7
507,F,2365,Northeast,urban,Psychiatry,5
1153,M,3870,South,non-urban,Cardiovascular Disease,7
2988,M,11581,Northeast,non-urban,Addiction Medicine,8
52,F,1548,Midwest,non-urban,Medical,7
508,F,2180,Midwest,non-urban,Cardiovascular Disease,7
783,M,2683,South,non-urban,Psychiatry,7
355,M,2366,Midwest,non-urban,Cardiovascular Disease,7
443,M,2406,South,non-urban,Psychiatry,6
704,M,1618,South,non-urban,Pulmonary Disease,6
2095,F,2198,South,non-urban,Infectious Disease,7
1268,M,2989,West,urban,"Endocrinology, Diabetes & Metabolism",8
910,M,3634,South,non-urban,Cardiovascular Disease,7
1165,F,4158,Midwest,non-urban,Family,7
499,F,2894,South,urban,Family,8
2532,M,11112,South,urban,Adult Medicine,7
348,F,1912,South,urban,Family,8
518,M,2775,Midwest,non-urban,Psychiatry,7
1264,M,11481,South,non-urban,Psychiatry,7
1418,F,6759,South,urban,Acute Care,7
364,F,1615,Midwest,non-urban,Family,7
212,M,2549,Midwest,urban,Neurology,7
350,F,2081,West,urban,Rheumatology,7
124,F,1010,South,non-urban,Family,8
446,M,3077,Northeast,non-urban,Cardiovascular Disease,7
717,M,2044,South,non-urban,Neurology,7
476,M,2157,Northeast,non-urban,Cardiovascular Disease,7
1364,F,2361,West,non-urban,"Endocrinology, Diabetes & Metabolism",7
944,F,3334,Northeast,non-urban,Cardiovascular Disease,7
1075,M,1483,Northeast,non-urban,Infectious Disease,6
515,M,6226,Northeast,urban,Psychiatry,5
597,F,3134,South,urban,Adult Health,5
278,M,1341,South,urban,Family,5
1635,M,7090,Northeast,non-urban,Cardiovascular Disease,8
243,F,1769,West,non-urban,Medical,7
4095,M,23982,Midwest,non-urban,Geriatric Medicine,8
277,F,3029,South,urban,Adult Health,5
892,F,2690,South,urban,Adult Health,7
713,M,3563,Northeast,non-urban,Cardiovascular Disease,7
935,M,2096,Midwest,non-urban,"Endocrinology, Diabetes & Metabolism",7
1124,M,9408,South,non-urban,Adolescent Medicine,8
487,M,2783,West,urban,Rheumatology,7
721,M,5009,South,urban,Adult Medicine,7
933,M,4800,Midwest,urban,Adolescent Medicine,7
767,M,8423,Midwest,urban,Psychiatry,7
511,M,3268,Midwest,non-urban,Cardiovascular Disease,7
227,F,1057,Northeast,non-urban,Medical,7
1827,M,1172,Northeast,non-urban,Pulmonary Disease,7
617,M,2776,West,non-urban,Neurology,7
1067,M,2812,Northeast,urban,Neurology,7
265,F,1483,Midwest,non-urban,Adult Health,7
334,M,3651,Midwest,non-urban,Psychiatry,7
546,M,5094,West,non-urban,Cardiovascular Disease,7
399,M,2281,Midwest,urban,Cardiovascular Disease,7
972,M,5697,South,urban,Geriatric Medicine,7
1386,F,6189,South,urban,Adult Medicine,7
2450,F,12133,West,non-urban,Primary Care,7
1636,M,2685,West,non-urban,"Endocrinology, Diabetes & Metabolism",7
1291,M,4369,West,non-urban,Pulmonary Disease,7
220,F,1237,Midwest,urban,Family,2
695,F,3994,Midwest,non-urban,Psychiatry,7
438,M,1950,South,urban,Cardiovascular Disease,7
1846,M,5355,Northeast,non-urban,Cardiovascular Disease,8
1448,M,4691,South,urban,Pulmonary Disease,6
3051,M,13226,South,urban,Family,7
384,M,3291,West,non-urban,Psychiatry,7
724,F,4194,South,non-urban,Medical,8
2273,F,2156,Midwest,urban,"Endocrinology, Diabetes & Metabolism",8
3264,M,23842,South,non-urban,Interventional Pain Medicine,7
1882,M,5744,South,urban,Cardiovascular Disease,7
1899,M,2870,Midwest,urban,"Endocrinology, Diabetes & Metabolism",7
1301,M,10697,South,non-urban,Psychiatry,7
